AASDHPPT	Q9NRN7	syn9735917
CEP120	Q8N960	syn9737292
CEP135	Q66GS9	syn9737293
CEP152	O94986	syn9737294
CEP170	Q5SW79	syn9737295
CEP55	Q53EZ4	syn9737296
CEP57	Q86XR8	syn9737297
CES1	P23141	syn9737298
CETN2	P41208	syn9737299
CETP	P11597	syn9737300
CFB	P00751	syn9737302
CFD	P00746	syn9737303
A2M	P01023	syn9737305
AADAT	Q8N5Z0	syn9737306
CFH	P08603	syn9737308
CFHR1	Q03591	syn9737309
CFHR2	P36980	syn9737311
CFI	P05156	syn9737312
CFL1	P23528	syn9737313
CFLAR	O15519	syn9737315
CFP	P27918	syn9737316
CFTR	P13569	syn9737318
CGA	P01215	syn9737319
CGRRF1	Q99675	syn9737320
CHAT	P28329	syn9737321
CHCHD4	Q8N4Q1	syn9737322
CHCHD5	Q9BSY4	syn9737323
CHCHD7	Q9BUK0	syn9737324
CHD1	O14646	syn9737325
CHD4	Q14839	syn9737326
CHD6	Q8TD26	syn9737327
CHD7	Q9P2D1	syn9737328
CHD8	Q9HCK8	syn9737329
CHEK1	O14757	syn9737330
CHEK2	O96017	syn9737331
CHFR	Q96EP1	syn9737332
CHGA	P10645	syn9737333
CHI3L1	P36222	syn9737334
CHI3L2	Q15782	syn9737335
CHIA	Q9BZP6	syn9737336
CHID1	Q9BWS9	syn9737337
CHIT1	Q13231	syn9737338
CHKA	P35790	syn9737339
CHKB	Q9Y259	syn9737340
CHMP1A	Q9HD42	syn9737341
CHMP1B	Q7LBR1	syn9737342
CHMP2B	Q9UQN3	syn9737343
CHMP3	Q9Y3E7	syn9737344
CHMP4A	Q9BY43	syn9737345
CHMP4B	Q9H444	syn9737346
CHMP4C	Q96CF2	syn9737347
CHMP5	Q9NZZ3	syn9737348
CHMP6	Q96FZ7	syn9737349
CHN1	P15882	syn9737350
CHN2	P52757	syn9737351
CHORDC1	Q9UHD1	syn9737352
CHP1	Q99653	syn9737353
CHP2	O43745	syn9737354
CHRM2	P08172	syn9737355
CHRM3	P20309	syn9737356
CHRNA1	P02708	syn9737357
CHRNA2	Q15822	syn9737358
CHRNA4	P43681	syn9737359
CHRNA7	P36544	syn9737360
CHRNA9	Q9UGM1	syn9737361
CHRNB2	P17787	syn9737362
CHRNB4	P30926	syn9737363
CHRNE	Q04844	syn9737364
CHUK	O15111	syn9737365
CHURC1	Q8WUH1	syn9737366
CIAO1	O76071	syn9737367
CIAPIN1	Q6FI81	syn9737368
CIB1	Q99828	syn9737369
CIC	Q96RK0	syn9737370
CIDEA	O60543	syn9737371
CIDEB	Q9UHD4	syn9737372
CIRBP	Q14011	syn9737373
CISD1	Q9NZ45	syn9737374
CISD2	Q8N5K1	syn9737375
CITED2	Q99967	syn9737376
CKAP5	Q14008	syn9737377
CKB	P12277	syn9737378
CKM	P06732	syn9737379
CKMT1A	P12532	syn9737380
CKMT2	P17540	syn9737381
CKS1B	P61024	syn9737382
CKS2	P33552	syn9737383
CLASP1	Q7Z460	syn9737384
CLASP2	O75122	syn9737385
CLC	Q05315	syn9737386
CLCN5	P51795	syn9737387
CLCNKA	P51800	syn9737388
CLEC1B	Q9P126	syn9737389
CLEC2A	Q6UVW9	syn9737390
CLEC2D	Q9UHP7	syn9737391
CLEC3B	P05452	syn9737392
CLEC4A	Q9UMR7	syn9737393
CLEC4C	Q8WTT0	syn9737394
CLEC4D	Q8WXI8	syn9737395
CLEC4E	Q9ULY5	syn9737396
CLEC4M	Q9H2X3	syn9737397
CLEC5A	Q9NY25	syn9737398
CLEC9A	Q6UXN8	syn9737399
CLIC1	O00299	syn9737400
CLIC2	O15247	syn9737401
CLIC3	O95833	syn9737402
CLIC4	Q9Y696	syn9737403
CLINT1	Q14677	syn9737404
CLIP1	P30622	syn9737405
CLIP2	Q9UDT6	syn9737406
CLIP4	Q8N3C7	syn9737407
CLK1	P49759	syn9737408
CLK2	P49760	syn9737409
CLK3	P49761	syn9737410
CLOCK	O15516	syn9737411
CLPP	Q16740	syn9737412
CLTC	Q00610	syn9737413
CMA1	P23946	syn9737414
CMC4	P56277	syn9737415
CMPK1	P30085	syn9737416
CMTR1	Q8N1G2	syn9737417
CNDP1	Q96KN2	syn9737418
CNDP2	Q96KP4	syn9737419
CNGA3	Q16281	syn9737420
CNKSR1	Q969H4	syn9737421
CNKSR2	Q8WXI2	syn9737422
CNN1	P51911	syn9737423
CNN2	Q99439	syn9737424
CNNM2	Q9H8M5	syn9737425
CNNM3	Q8NE01	syn9737426
CNNM4	Q6P4Q7	syn9737427
CNOT1	A5YKK6	syn9737428
CNOT2	Q9NZN8	syn9737429
CNOT3	O75175	syn9737430
CNOT4	O95628	syn9737431
CNOT6L	Q96LI5	syn9737432
CNOT7	Q9UIV1	syn9737433
CNOT9	Q92600	syn9737434
CNP	P09543	syn9737435
CNR1	P21554	syn9737436
CNR2	P34972	syn9737437
CNTFR	P26992	syn9737438
CNTN1	Q12860	syn9737439
CNTN2	Q02246	syn9737440
CNTN3	Q9P232	syn9737441
CNTN5	O94779	syn9737442
CNTNAP4	Q9C0A0	syn9737443
COBLL1	Q53SF7	syn9737444
COCH	O43405	syn9737445
COG4	Q9H9E3	syn9737446
COL10A1	Q03692	syn9737447
COL15A1	P39059	syn9737448
COL18A1	P39060	syn9737449
COL1A1	P02452	syn9737450
COL20A1	Q9P218	syn9737451
COL26A1	Q96A83	syn9737452
COL2A1	P02458	syn9737453
COL3A1	P02461	syn9737454
COL4A1	P02462	syn9737455
COL4A2	P08572	syn9737456
COL4A3BP	Q9Y5P4	syn9737457
COL5A1	P20908	syn9737458
COL5A2	P05997	syn9737459
COL6A3	P12111	syn9737461
COL9A1	P20849	syn9737462
COLEC11	Q9BWP8	syn9737463
COLQ	Q9Y215	syn9737464
COMMD1	Q8N668	syn9737465
COMMD9	Q9P000	syn9737466
COMP	P49747	syn9737467
COMT	P21964	syn9737468
COMTD1	Q86VU5	syn9737469
COPG1	Q9Y678	syn9737470
COPS2	P61201	syn9737471
COPS3	Q9UNS2	syn9737472
COPS4	Q9BT78	syn9737473
COPS5	Q92905	syn9737474
COPS6	Q7L5N1	syn9737475
COPS7A	Q9UBW8	syn9737476
COPS8	Q99627	syn9737477
COPZ1	P61923	syn9737478
COQ8A	Q8NI60	syn9737479
COQ9	O75208	syn9737480
COTL1	Q14019	syn9737481
